CustomerID,total_spend,avg_order_value,order_count,avg_quantity,avg_unit_price,avg_items_in_cart,coupon_usage_rate,bad_outcome_rate,product_diversity,recency_days,PaymentMethod_Cash,PaymentMethod_Credit Card,PaymentMethod_Debit Card,PaymentMethod_Gift Card,PaymentMethod_Online,ReferralSource_Email,ReferralSource_Facebook,ReferralSource_Google,ReferralSource_Instagram,ReferralSource_Referral,Product_Chair,Product_Desk,Product_Laptop,Product_Monitor,Product_Phone,Product_Printer,Product_Tablet,cluster
C10866,789.57,789.57,1,3.0,263.19,5.0,0.0,0.0,1,553,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
C10892,754.94,754.94,1,2.0,377.47,7.0,0.0,0.0,1,346,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C11127,1306.65,1306.65,1,5.0,261.33,5.0,1.0,1.0,1,307,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C11210,454.6,454.6,1,5.0,90.92,9.0,1.0,0.0,1,295,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C11415,2876.2,2876.2,1,5.0,575.24,7.0,1.0,0.0,1,473,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2
C11473,146.82,146.82,1,2.0,73.41,2.0,1.0,0.0,1,551,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
C11644,46.66,46.66,1,1.0,46.66,6.0,0.0,1.0,1,711,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
C11657,264.4,264.4,1,4.0,66.1,9.0,1.0,1.0,1,569,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C11665,337.38,337.38,1,3.0,112.46,6.0,1.0,0.0,1,795,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C11676,929.0,929.0,1,2.0,464.5,2.0,1.0,1.0,1,20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
C11829,279.14,279.14,1,2.0,139.57,4.0,1.0,0.0,1,58,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C11849,476.5,476.5,1,2.0,238.25,7.0,1.0,1.0,1,247,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C11893,1582.0,1582.0,1,5.0,316.4,7.0,0.0,1.0,1,284,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C11906,1237.59,1237.59,1,3.0,412.53,6.0,1.0,0.0,1,181,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
C11921,452.7,452.7,1,1.0,452.7,5.0,1.0,0.0,1,214,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6
C11940,448.02,448.02,1,3.0,149.34,7.0,1.0,1.0,1,665,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C11985,30.44,30.44,1,1.0,30.44,1.0,1.0,0.0,1,633,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
C11998,1495.98,1495.98,1,3.0,498.66,6.0,0.0,1.0,1,135,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C12039,132.68,132.68,1,1.0,132.68,1.0,1.0,1.0,1,567,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C12245,815.58,815.58,1,2.0,407.79,3.0,0.0,0.0,1,776,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
C12301,531.74,531.74,1,1.0,531.74,1.0,1.0,0.0,1,659,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C12388,2683.6,2683.6,1,5.0,536.72,10.0,0.0,0.0,1,792,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
C12408,161.54,161.54,1,2.0,80.77,4.0,0.0,0.0,1,675,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
C12421,93.02,93.02,1,1.0,93.02,4.0,0.0,1.0,1,795,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C12444,230.88,230.88,1,3.0,76.96,8.0,1.0,1.0,1,287,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6
C12459,284.16,284.16,1,2.0,142.08,4.0,1.0,0.0,1,298,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6
C12472,252.93,252.93,1,3.0,84.31,3.0,1.0,0.0,1,492,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C12479,124.1,124.1,1,5.0,24.82,10.0,0.0,0.0,1,638,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
C12487,1427.07,1427.07,1,3.0,475.69,3.0,1.0,1.0,1,540,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C12607,281.52,281.52,1,1.0,281.52,6.0,1.0,0.0,1,818,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C12609,547.32,547.32,1,4.0,136.83,8.0,1.0,0.0,1,583,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6
C12667,223.3,223.3,1,1.0,223.3,1.0,0.0,1.0,1,72,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C12740,644.75,644.75,1,5.0,128.95,10.0,1.0,0.0,1,649,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C12813,1462.7,1462.7,1,5.0,292.54,8.0,1.0,1.0,1,108,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C12818,191.04,191.04,1,3.0,63.68,6.0,0.0,1.0,1,566,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C13100,1177.64,1177.64,1,4.0,294.41,4.0,0.0,0.0,1,561,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C13108,3293.85,3293.85,1,5.0,658.77,10.0,1.0,0.0,1,432,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
C13169,536.07,536.07,1,1.0,536.07,5.0,1.0,0.0,1,594,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C13186,889.68,889.68,1,2.0,444.84,7.0,0.0,0.0,1,672,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C13205,2107.1,2107.1,1,5.0,421.42,7.0,0.0,1.0,1,888,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C13296,108.82,108.82,1,2.0,54.41,6.0,0.0,0.0,1,759,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C13324,1199.48,1199.48,1,2.0,599.74,2.0,0.0,0.0,1,108,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C13366,2714.2,2714.2,1,4.0,678.55,5.0,0.0,0.0,1,726,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
C13501,427.6,427.6,1,5.0,85.52,5.0,0.0,1.0,1,678,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C13525,212.79,212.79,1,3.0,70.93,5.0,0.0,1.0,1,383,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C13540,1239.64,1239.64,1,4.0,309.91,5.0,1.0,0.0,1,758,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
C13877,3384.9,3384.9,1,5.0,676.98,5.0,0.0,1.0,1,583,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2
C13923,118.8,118.8,1,1.0,118.8,6.0,1.0,0.0,1,632,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C14005,80.46,80.46,1,2.0,40.23,4.0,1.0,1.0,1,547,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
C14017,1248.32,1248.32,1,2.0,624.16,2.0,1.0,0.0,1,784,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6
C14080,283.69,283.69,1,1.0,283.69,6.0,0.0,0.0,1,369,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6
C14114,1704.06,1704.06,1,3.0,568.02,3.0,1.0,0.0,1,277,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C14240,491.11,491.11,1,1.0,491.11,4.0,1.0,0.0,1,790,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C14427,533.9,533.9,1,2.0,266.95,3.0,0.0,0.0,1,343,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C14455,164.85,164.85,1,3.0,54.95,8.0,1.0,1.0,1,570,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C14457,395.4,395.4,1,5.0,79.08,8.0,0.0,0.0,1,398,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C14552,1120.0,1120.0,1,5.0,224.0,9.0,1.0,1.0,1,890,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
C14553,440.19,440.19,1,3.0,146.73,8.0,1.0,0.0,1,295,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C14568,885.32,885.32,1,4.0,221.33,5.0,0.0,0.0,1,871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C14576,2156.8,2156.8,1,4.0,539.2,8.0,1.0,0.0,1,439,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C14600,441.8,441.8,1,2.0,220.9,4.0,0.0,0.0,1,712,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
C14683,1069.34,1069.34,1,2.0,534.67,7.0,1.0,0.0,1,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C14737,581.64,581.64,1,4.0,145.41,7.0,1.0,1.0,1,899,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C14837,183.18,183.18,1,1.0,183.18,6.0,1.0,1.0,1,822,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
C14847,1097.81,548.905,2,2.5,256.78,4.0,0.5,0.0,2,194,0.5,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,5
C14891,1654.96,1654.96,1,4.0,413.74,7.0,1.0,1.0,1,465,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C14983,17.24,17.24,1,1.0,17.24,2.0,1.0,0.0,1,720,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C15017,675.57,675.57,1,1.0,675.57,1.0,1.0,0.0,1,60,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C15063,426.1,426.1,1,5.0,85.22,7.0,1.0,1.0,1,428,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C15146,190.55,190.55,1,5.0,38.11,6.0,1.0,1.0,1,684,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C15228,1422.42,1422.42,1,3.0,474.14,8.0,1.0,0.0,1,498,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C15257,580.2,580.2,1,4.0,145.05,6.0,1.0,0.0,1,102,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C15283,381.02,381.02,1,1.0,381.02,6.0,0.0,0.0,1,584,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
C15624,3097.6,3097.6,1,5.0,619.52,9.0,0.0,0.0,1,161,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
C15629,912.45,912.45,1,3.0,304.15,3.0,1.0,0.0,1,807,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
C15681,2161.64,2161.64,1,4.0,540.41,6.0,0.0,1.0,1,679,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C15849,525.43,525.43,1,1.0,525.43,2.0,1.0,1.0,1,190,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C15924,245.89,245.89,1,1.0,245.89,3.0,1.0,0.0,1,194,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C16012,630.82,630.82,1,1.0,630.82,5.0,1.0,0.0,1,95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C16253,399.4,399.4,1,2.0,199.7,4.0,0.0,0.0,1,8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C16400,628.44,628.44,1,3.0,209.48,4.0,0.0,0.0,1,266,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C16429,679.65,679.65,1,1.0,679.65,6.0,1.0,0.0,1,462,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C16612,600.54,600.54,1,1.0,600.54,4.0,1.0,0.0,1,104,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C16675,857.4,857.4,1,4.0,214.35,7.0,1.0,1.0,1,22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
C16693,949.72,949.72,1,4.0,237.43,8.0,1.0,1.0,1,146,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
C16702,1390.17,1390.17,1,3.0,463.39,3.0,0.0,1.0,1,674,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
C16758,188.31,188.31,1,3.0,62.77,6.0,1.0,0.0,1,242,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C16775,3353.75,3353.75,1,5.0,670.75,8.0,1.0,0.0,1,827,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
C16776,320.0,320.0,1,2.0,160.0,4.0,1.0,0.0,1,666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C16790,258.96,258.96,1,4.0,64.74,8.0,1.0,1.0,1,815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C17075,1259.04,1259.04,1,4.0,314.76,8.0,0.0,0.0,1,341,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C17103,1278.36,1278.36,1,3.0,426.12,5.0,1.0,0.0,1,543,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
C17132,386.03,386.03,1,1.0,386.03,4.0,1.0,0.0,1,206,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C17136,641.96,641.96,1,4.0,160.49,8.0,1.0,0.0,1,706,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C17181,2276.65,2276.65,1,5.0,455.33,8.0,1.0,1.0,1,126,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
C17269,1733.8,1733.8,1,4.0,433.45,4.0,0.0,1.0,1,790,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
C17302,359.99,359.99,1,1.0,359.99,5.0,1.0,1.0,1,707,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6
C17388,317.25,317.25,1,1.0,317.25,1.0,1.0,1.0,1,507,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C17389,522.08,522.08,1,1.0,522.08,5.0,1.0,1.0,1,233,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8
C17470,461.9,461.9,1,2.0,230.95,3.0,1.0,0.0,1,244,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C17551,518.39,518.39,1,1.0,518.39,4.0,1.0,0.0,1,79,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C17591,479.76,479.76,1,1.0,479.76,1.0,0.0,0.0,1,641,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C17921,1210.6,1210.6,1,4.0,302.65,8.0,1.0,1.0,1,862,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C17966,185.74,185.74,1,2.0,92.87,5.0,1.0,0.0,1,623,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
C18037,140.68,140.68,1,2.0,70.34,3.0,1.0,1.0,1,846,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C18076,1766.22,1766.22,1,3.0,588.74,8.0,1.0,0.0,1,578,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6
C18104,635.9,635.9,1,5.0,127.18,9.0,1.0,1.0,1,228,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
C18105,2332.08,2332.08,1,4.0,583.02,4.0,1.0,0.0,1,249,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C18138,1618.38,1618.38,1,3.0,539.46,4.0,1.0,0.0,1,817,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7
C18167,887.84,887.84,1,4.0,221.96,7.0,0.0,0.0,1,471,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4
C18169,929.84,929.84,1,2.0,464.92,2.0,0.0,1.0,1,59,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C18187,605.28,605.28,1,1.0,605.28,3.0,1.0,0.0,1,225,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
C18353,1299.99,1299.99,1,3.0,433.33,4.0,1.0,1.0,1,28,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3
C18404,3370.2,3370.2,1,5.0,674.04,7.0,1.0,1.0,1,854,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2
